Provenance;Terms involved;Ontology;Requirement description;Result
ISO/IEC 30141:2017;'["PhysicalThing","Thing"]';Open Connectivity Foundation (OCF);An Entity can be physical or virtual;undefined
ISO/IEC 30141:2017;'["Application","interactsUsing","Network"]';Open Connectivity Foundation (OCF);An applications can interact with other services via the network;undefined
ISO/IEC 30141:2017;'["Application","Service"]';Open Connectivity Foundation (OCF);An application is a specialized form of service;undefined
ISO/IEC 30141:2017;'["HumanUser","interactsUsing","Application"]';Open Connectivity Foundation (OCF);A human user interacts using applications;undefined
ISO/IEC 30141:2017;'["DigitalUser","interactsUsing","Service"]';Open Connectivity Foundation (OCF);Digital user consumes services;undefined
ISO/IEC 30141:2017;'["Application","Service"]';Open Connectivity Foundation (OCF);An application typically uses Services;undefined
ISO/IEC 30141:2017;'["HumanUser","interactsUsing","Application"]';Open Connectivity Foundation (OCF);Human users uses applications;undefined
ISO/IEC 30141:2017;'["Device","uses","DataStore","Gateway","Service"]';Open Connectivity Foundation (OCF);"Data associated with services; devices and gateways can be held in data stores";absent
ISO/IEC 30141:2017;'["PhysicalThing","Thing","VirtualThing"]';Open Connectivity Foundation (OCF);Everything in an IoT system is a kind of entity;undefined
ISO/IEC 30141:2017;'["Sensor","monitors","Tag","PhysicalThing","hasTag"]';Open Connectivity Foundation (OCF);Sensors can monitor the tag attached to a physical entity rather than the physical entity itself;undefined
ISO/IEC 30141:2017;'["VirtualThing","isAccessibleThrough","Link"]';Open Connectivity Foundation (OCF);A virtual entity interacts through an endpoint;undefined
ISO/IEC 30141:2017;'["Service","uses","DataStore"]';Open Connectivity Foundation (OCF);A service can use data stores;undefined
ISO/IEC 30141:2017;'["Service","interactsWith"]';Open Connectivity Foundation (OCF);A service can interact with other services;undefined
ISO/IEC 30141:2017;'["Service","interactsWith","Device"]';Open Connectivity Foundation (OCF);A service interacts with zero or more IoT devices;undefined
ISO/IEC 30141:2017;'["Service","interactsWith","Gateway"]';Open Connectivity Foundation (OCF);A service interacts with zero or more IoT gateways;undefined
ISO/IEC 30141:2017;'["Service","interactsWith","Network"]';Open Connectivity Foundation (OCF);A service interacts with other entities via one or more networks;undefined
ISO/IEC 30141:2017;'["Device","isAccessibleThrough","Link"]';Open Connectivity Foundation (OCF);IoT device exposes one or more endpoints;absent
ISO/IEC 30141:2017;'["Device","interactsWith","Network"]';Open Connectivity Foundation (OCF);IoT device interacts with one or more networks ;absent
ISO/IEC 30141:2017;'["Gateway","uses","DataStore"]';Open Connectivity Foundation (OCF);IoT gateways use data stores;undefined
ISO/IEC 30141:2017;'["Gateway","connects","Device"]';Open Connectivity Foundation (OCF);IoT gateways connect IoT devices;undefined
https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;'["Function","hasCommand","Command"]';Open Connectivity Foundation (OCF);A functionality has commands that allow human users to influence/observe such functionality;undefined
https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;'["Device","hasFunction","Function"]';Open Connectivity Foundation (OCF);A functionality represents the functionality necessary to accomplish the task for which a device is designed;absent
https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;'["Service","hasOutputDataPoint","OutputDataPoint"]';Open Connectivity Foundation (OCF);A service has an output data point;undefined
https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;'["Service","hasSubService"]';Open Connectivity Foundation (OCF);A service can be composed of independent (sub-)services;undefined
https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;'["Thing","hasThingProperty","ThingProperty"]';Open Connectivity Foundation (OCF);A thing may have properties;undefined
https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;'["Thing","hasThingRelation"]';Open Connectivity Foundation (OCF);A thing can have relations to other things;undefined
https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;["Property"];Open Connectivity Foundation (OCF);An aspect could be a (physical or non-physical) entity or it could be a quality;passed
https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;'["Property","hasMetaData","MetaData"]';Open Connectivity Foundation (OCF);An aspect can have metadata;absent
https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;'["Service","hasOperation","Operation"]';Open Connectivity Foundation (OCF);A service has an operation;undefined
https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;'["Device","isPartOf","AreaNetwork"]';Open Connectivity Foundation (OCF);A device is a thing that is able to interact electronically with its environment via a network;absent
https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;'["Device","PhysicalThing","VirtualThing"]';Open Connectivity Foundation (OCF);A device may be a physical or non-physical entity;absent
https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;'["Service","hasInputDataPoint","InputDataPoint"]';Open Connectivity Foundation (OCF);A service has an input data point;undefined
https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;'["Operation","hasOutput","OperationOutput"]';Open Connectivity Foundation (OCF);An operation may produce data into operation outputs (transient entities that are deleted when the operation finishes);undefined
https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;'["Operation","hasOutput","OperationOutput"]';Open Connectivity Foundation (OCF);An operation may produce output data into output data points (persistent entities);undefined
https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;'["Device","hasFunction","Function"]';Open Connectivity Foundation (OCF);A device performs one or more functionalities in order to accomplish a particular task;absent
https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;'["Operation","hasInput","OperationInput"]';Open Connectivity Foundation (OCF);An operation may receive input data from input data points (persistent entities);undefined
https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;["InterworkedDevice"];Open Connectivity Foundation (OCF);An area network is a network that provides data transport services between an interworked device and the oneM2M System;undefined
https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;'["Service","represents","Function"]';Open Connectivity Foundation (OCF);A service can expose one or more functionalities;undefined
https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;'["Service","represents","Function"]';Open Connectivity Foundation (OCF);A service is an electronic representation of a functionality in a network;undefined
https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;'["AreaNetwork","netTechnologyProfile","string"]';Open Connectivity Foundation (OCF);An area network follows a profile;undefined
https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;'["AreaNetwork","netTechnologyCommunicationProtocol","string"]';Open Connectivity Foundation (OCF);An area network follows a communication protocol;undefined
https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;'["AreaNetwork","netTechnologyPhysicalStandard","string"]';Open Connectivity Foundation (OCF);An area network follows an standard that defines its physical properties;undefined
https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;'["Variable","hasMetaData","MetaData"]';Open Connectivity Foundation (OCF);"Metadata contain data (like units; precision-ranges) about a variable or about an aspect";undefined
https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;'["InterworkedDevice","isPartOf","AreaNetwork"]';Open Connectivity Foundation (OCF);An interworked device is part of an area network;undefined
https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;["InterworkedDevice"];Open Connectivity Foundation (OCF);An interworked device is a device that does not support oneM2M interfaces and can only be accessed from the oneM2M System by communicating with a proxied (virtual) device that has been created by an interworking proxy entity;undefined
https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;'["Service","exposes","Thing"]';Open Connectivity Foundation (OCF);A device has one or more services that expose in the network its functionalities;undefined
https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;'["Device","offers","Service"]';Open Connectivity Foundation (OCF);A device has one or more services that expose in the network its functionalities (refined);absent
https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;["Thing"];Open Connectivity Foundation (OCF);A thing is an entity that can be identified in the oneM2M System.;undefined
https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;'["Operation","hasInput","OperationInput"]';Open Connectivity Foundation (OCF);An operation may receive data from operation inputs (transient entities that are deleted when the operation finishes);undefined
https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;["Operation"];Open Connectivity Foundation (OCF);An operation is the -machine interpretable- exposure of a -human understandable- command to a network;undefined
https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;["Operation"];Open Connectivity Foundation (OCF);An operation is the means of a service to communicate in a procedure-type manner over the network (i.e. transmit data to/from other devices);undefined
https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;'["SensingFunction","Function"]';Open Connectivity Foundation (OCF);"A measuring functionality represents a functionality that has no impacts on the real world; but only gathers data";undefined
