Ontology;Value;Term
https://w3id.org/saref;https://w3id.org/saref#isMeasuredByDevice;isMeasuredByDevice
https://w3id.org/saref;https://w3id.org/saref#Start;Start
https://w3id.org/saref;https://w3id.org/saref#WashingMachine;WashingMachine
https://w3id.org/saref;https://w3id.org/saref#hasModel;hasModel
https://w3id.org/saref;https://w3id.org/saref#Toggle;Toggle
https://w3id.org/saref;http://www.w3.org/2001/XMLSchema#dateTime;dateTime
https://w3id.org/saref;https://w3id.org/saref#Profile;Profile
https://w3id.org/saref;https://w3id.org/saref#OpenCloseFunction;OpenCloseFunction
https://w3id.org/saref;http://www.wurvoc.org/vocabularies/om-1.8/pound_sterling;pound_sterling
https://w3id.org/saref;http://www.w3.org/2000/01/rdf-schema#Literal;Literal
https://w3id.org/saref;https://w3id.org/saref#hasPrice;hasPrice
https://w3id.org/saref;https://w3id.org/saref#GetCommand;GetCommand
https://w3id.org/saref;https://w3id.org/saref#DoorSwitch;DoorSwitch
https://w3id.org/saref;https://w3id.org/saref#Load;Load
https://w3id.org/saref;https://w3id.org/saref#Occupancy;Occupancy
https://w3id.org/saref;http://www.w3.org/2006/time#TemporalEntity;TemporalEntity
https://w3id.org/saref;https://w3id.org/saref#hasName;hasName
https://w3id.org/saref;https://w3id.org/saref#GetMeterHistoryCommand;GetMeterHistoryCommand
https://w3id.org/saref;https://w3id.org/saref#Network;Network
